variable,full_name,label,value_type,description,categories,categories_label
chys_7timesleep_c19c2,COVID19_Survey.child_phase3_covid.chys_7timesleep_c19c2,1A) In the last 7d what time have you normally fallen asleep?,text,,,
chys_7wknp_c19c2,COVID19_Survey.child_phase3_covid.chys_7wknp_c19c2,1B) In the last 7 days what time have you normally woken up (please write):,text,,,
choftnhppn_bly_c19c2___3,COVID19_Survey.child_phase3_covid.choftnhppn_bly_c19c2___3,5F) How often do other children bully you? (Please tick one) (choice=All of the,decimal,,0|1,Unchecked|Checked
chwk_2cybrblyngu_c19c2___1,COVID19_Survey.child_phase3_covid.chwk_2cybrblyngu_c19c2___1,5G) In the past two weeks how often have you been cyberbullied? (e.g. sent mean,decimal,,0|1,Unchecked|Checked
chwk_2cybrblyngu_c19c2___2,COVID19_Survey.child_phase3_covid.chwk_2cybrblyngu_c19c2___2,5G) In the past two weeks how often have you been cyberbullied? (e.g. sent mean,decimal,,0|1,Unchecked|Checked
chwk_2cybrblyngu_c19c2___3,COVID19_Survey.child_phase3_covid.chwk_2cybrblyngu_c19c2___3,5G) In the past two weeks how often have you been cyberbullied? (e.g. sent mean,decimal,,0|1,Unchecked|Checked
chwk_2cybrblyngu_c19c2___4,COVID19_Survey.child_phase3_covid.chwk_2cybrblyngu_c19c2___4,5G) In the past two weeks how often have you been cyberbullied? (e.g. sent mean,decimal,,0|1,Unchecked|Checked
chfm_fun_c19c2___1,COVID19_Survey.child_phase3_covid.chfm_fun_c19c2___1,6A) My family and the people I live with: How often do you have fun with your fa,decimal,,0|1,Unchecked|Checked
chfm_fun_c19c2___2,COVID19_Survey.child_phase3_covid.chfm_fun_c19c2___2,6A) My family and the people I live with: How often do you have fun with your fa,decimal,,0|1,Unchecked|Checked
chfm_fun_c19c2___3,COVID19_Survey.child_phase3_covid.chfm_fun_c19c2___3,6A) My family and the people I live with: How often do you have fun with your fa,decimal,,0|1,Unchecked|Checked
chfm_gtalong_c19c2___1,COVID19_Survey.child_phase3_covid.chfm_gtalong_c19c2___1,6B) How often does your family get along well together? (Please tick one) (choic,decimal,,0|1,Unchecked|Checked
chfm_gtalong_c19c2___2,COVID19_Survey.child_phase3_covid.chfm_gtalong_c19c2___2,6B) How often does your family get along well together? (Please tick one) (choic,decimal,,0|1,Unchecked|Checked
chfm_gtalong_c19c2___3,COVID19_Survey.child_phase3_covid.chfm_gtalong_c19c2___3,6B) How often does your family get along well together? (Please tick one) (choic,decimal,,0|1,Unchecked|Checked
chfm_siblngs_c19c2___1,COVID19_Survey.child_phase3_covid.chfm_siblngs_c19c2___1,"6C) How often do you get along with your brothers, sisters and other children yo",decimal,,0|1,Unchecked|Checked
chfm_siblngs_c19c2___2,COVID19_Survey.child_phase3_covid.chfm_siblngs_c19c2___2,"6C) How often do you get along with your brothers, sisters and other children yo",decimal,,0|1,Unchecked|Checked
chfm_siblngs_c19c2___3,COVID19_Survey.child_phase3_covid.chfm_siblngs_c19c2___3,"6C) How often do you get along with your brothers, sisters and other children yo",decimal,,0|1,Unchecked|Checked
chfm_siblngs_c19c2___4,COVID19_Survey.child_phase3_covid.chfm_siblngs_c19c2___4,"6C) How often do you get along with your brothers, sisters and other children yo",decimal,,0|1,Unchecked|Checked
chwd_dudo_c19c2___1,COVID19_Survey.child_phase3_covid.chwd_dudo_c19c2___1,7A) What do you do if you are worried about something? You can tick more than on,decimal,,0|1,Unchecked|Checked
chwd_dudo_c19c2___2,COVID19_Survey.child_phase3_covid.chwd_dudo_c19c2___2,7A) What do you do if you are worried about something? You can tick more than on,decimal,,0|1,Unchecked|Checked
chwd_dudo_c19c2___3,COVID19_Survey.child_phase3_covid.chwd_dudo_c19c2___3,7A) What do you do if you are worried about something? You can tick more than on,decimal,,0|1,Unchecked|Checked
chwd_dudo_c19c2___4,COVID19_Survey.child_phase3_covid.chwd_dudo_c19c2___4,7A) What do you do if you are worried about something? You can tick more than on,decimal,,0|1,Unchecked|Checked
chwd_dudo_c19c2___5,COVID19_Survey.child_phase3_covid.chwd_dudo_c19c2___5,7A) What do you do if you are worried about something? You can tick more than on,decimal,,0|1,Unchecked|Checked
chwd_dudo_c19c2___6,COVID19_Survey.child_phase3_covid.chwd_dudo_c19c2___6,7A) What do you do if you are worried about something? You can tick more than on,decimal,,0|1,Unchecked|Checked
chwd_dudo_c19c2___7,COVID19_Survey.child_phase3_covid.chwd_dudo_c19c2___7,7A) What do you do if you are worried about something? You can tick more than on,decimal,,0|1,Unchecked|Checked
chwd_hard_c19c2___1,COVID19_Survey.child_phase3_covid.chwd_hard_c19c2___1,7B) When I find something really hard I can work out what to do next? (choice=Ne,decimal,,0|1,Unchecked|Checked
chwd_hard_c19c2___2,COVID19_Survey.child_phase3_covid.chwd_hard_c19c2___2,7B) When I find something really hard I can work out what to do next? (choice=So,decimal,,0|1,Unchecked|Checked
chwd_hard_c19c2___3,COVID19_Survey.child_phase3_covid.chwd_hard_c19c2___3,7B) When I find something really hard I can work out what to do next? (choice=Al,decimal,,0|1,Unchecked|Checked
chwr_lstfd_c19c2___1,COVID19_Survey.child_phase3_covid.chwr_lstfd_c19c2___1,We cant get the food we want because there is not enough money (choice=Many time,decimal,,0|1,Unchecked|Checked
chwr_lstfd_c19c2___2,COVID19_Survey.child_phase3_covid.chwr_lstfd_c19c2___2,We cant get the food we want because there is not enough money (choice=1 or 2 ti,decimal,,0|1,Unchecked|Checked
chwr_lstfd_c19c2___3,COVID19_Survey.child_phase3_covid.chwr_lstfd_c19c2___3,We cant get the food we want because there is not enough money (choice=Never),decimal,,0|1,Unchecked|Checked
chwr_lsteat_c19c2___1,COVID19_Survey.child_phase3_covid.chwr_lsteat_c19c2___1,I worry about not having enough to eat (choice=Many times),decimal,,0|1,Unchecked|Checked
chwr_lsteat_c19c2___2,COVID19_Survey.child_phase3_covid.chwr_lsteat_c19c2___2,I worry about not having enough to eat (choice=1 or 2 times),decimal,,0|1,Unchecked|Checked
chwr_lsteat_c19c2___3,COVID19_Survey.child_phase3_covid.chwr_lsteat_c19c2___3,I worry about not having enough to eat (choice=Never),decimal,,0|1,Unchecked|Checked
chwr_lstprtsfood_c19c2___1,COVID19_Survey.child_phase3_covid.chwr_lstprtsfood_c19c2___1,I worry about how hard it is for my parents to get enough food for us (choice=Ma,decimal,,0|1,Unchecked|Checked
chwr_lstprtsfood_c19c2___2,COVID19_Survey.child_phase3_covid.chwr_lstprtsfood_c19c2___2,I worry about how hard it is for my parents to get enough food for us (choice=1,decimal,,0|1,Unchecked|Checked
chwr_lstprtsfood_c19c2___3,COVID19_Survey.child_phase3_covid.chwr_lstprtsfood_c19c2___3,I worry about how hard it is for my parents to get enough food for us (choice=Ne,decimal,,0|1,Unchecked|Checked
chwr_lsthngry_c19c2___1,COVID19_Survey.child_phase3_covid.chwr_lsthngry_c19c2___1,I feel hungry because there is not enough food to eat (choice=Many times),decimal,,0|1,Unchecked|Checked
chwr_lsthngry_c19c2___2,COVID19_Survey.child_phase3_covid.chwr_lsthngry_c19c2___2,I feel hungry because there is not enough food to eat (choice=1 or 2 times),decimal,,0|1,Unchecked|Checked
chwr_lsthngry_c19c2___3,COVID19_Survey.child_phase3_covid.chwr_lsthngry_c19c2___3,I feel hungry because there is not enough food to eat (choice=Never),decimal,,0|1,Unchecked|Checked
chwr_lsteatlt_c19c2___1,COVID19_Survey.child_phase3_covid.chwr_lsteatlt_c19c2___1,I try not to eat a lot so that our food will last (choice=Many times),decimal,,0|1,Unchecked|Checked
chwr_lsteatlt_c19c2___2,COVID19_Survey.child_phase3_covid.chwr_lsteatlt_c19c2___2,I try not to eat a lot so that our food will last (choice=1 or 2 times),decimal,,0|1,Unchecked|Checked
chwr_lsteatlt_c19c2___3,COVID19_Survey.child_phase3_covid.chwr_lsteatlt_c19c2___3,I try not to eat a lot so that our food will last (choice=Never),decimal,,0|1,Unchecked|Checked
chwr_lstmny_c19c2___1,COVID19_Survey.child_phase3_covid.chwr_lstmny_c19c2___1,How often do you worry about how much money your family has (choice=Many times),decimal,,0|1,Unchecked|Checked
chwr_lstmny_c19c2___2,COVID19_Survey.child_phase3_covid.chwr_lstmny_c19c2___2,How often do you worry about how much money your family has (choice=1 or 2 times,decimal,,0|1,Unchecked|Checked
chwr_lstmny_c19c2___3,COVID19_Survey.child_phase3_covid.chwr_lstmny_c19c2___3,How often do you worry about how much money your family has (choice=Never),decimal,,0|1,Unchecked|Checked
ch_wrynow_1_c19c2,COVID19_Survey.child_phase3_covid.ch_wrynow_1_c19c2, 1:,text,,,
ch_wrynow_2_c19c2,COVID19_Survey.child_phase3_covid.ch_wrynow_2_c19c2, 2:,text,,,
ch_wrynow_3_c19c2,COVID19_Survey.child_phase3_covid.ch_wrynow_3_c19c2, 3:,text,,,
ch_easier_1_c19c2,COVID19_Survey.child_phase3_covid.ch_easier_1_c19c2, 1:,text,,,
ch_easier_2_c19c2,COVID19_Survey.child_phase3_covid.ch_easier_2_c19c2, 2:,text,,,
ch_easier_3_c19c2,COVID19_Survey.child_phase3_covid.ch_easier_3_c19c2, 3:,text,,,
end_data_entry_notes,COVID19_Survey.child_phase3_covid.end_data_entry_notes,Data entry notes,text,,,
end_submit,COVID19_Survey.child_phase3_covid.end_submit,Please confirm that you have completed your questionnaire,decimal,,1,"Yes, Im ready to submit"
child_complete,COVID19_Survey.child_phase3_covid.child_complete,Complete?,decimal,,0|1|2,Incomplete|Unverified|Complete
